Time [s], Analyzer Name, Decoded Protocol Result
-0.000923500000000,Async Serial,0x24
-0.000835200000000,Async Serial,0x30
-0.000747000000000,Async Serial,0x30
-0.000658700000000,Async Serial,0x30
-0.000570400000000,Async Serial,0x32
-0.000482200000000,Async Serial,0x32
-0.000393900000000,Async Serial,0x31
-0.000305600000000,Async Serial,0x32
-0.000217400000000,Async Serial,0x33
-0.000129000000000,Async Serial,0x26
-0.000026100000000,Async Serial,0x24
0.000061900000000,Async Serial,0x30
0.000150000000000,Async Serial,0x30
0.000238000000000,Async Serial,0x30
0.000326000000000,Async Serial,0x32
0.000414000000000,Async Serial,0x33
0.000502000000000,Async Serial,0x33
0.000590000000000,Async Serial,0x33
0.000678100000000,Async Serial,0x35
0.000766000000000,Async Serial,0x26
4.351360600000000,Async Serial,0x24
4.351448600000000,Async Serial,0x30
4.351536600000000,Async Serial,0x30
4.351624700000000,Async Serial,0x30
4.351712700000000,Async Serial,0x36
4.351800800000000,Async Serial,0x32
4.351888800000000,Async Serial,0x31
4.351976800000000,Async Serial,0x30
4.352064900000000,Async Serial,0x30
4.352152900000000,Async Serial,0x30
4.352241000000000,Async Serial,0x30
4.352329000000000,Async Serial,0x31
4.352417000000000,Async Serial,0x39
4.352505000000000,Async Serial,0x31
4.352593100000000,Async Serial,0x39
4.352681100000000,Async Serial,0x36
4.352769200000000,Async Serial,0x35
4.352857200000000,Async Serial,0x26
